partner,status,startAt,endAt,con_chay_2026-05-21,ten_su_kien
"Traphaco","active","2026-05-19","2026-06-30","yes","TRAPHACO AMBASSADOR - ĐẠI SỨ TRAPHACO"
"VPbank","active","2026-05-19","2026-09-30","yes","VPBANK GO VIRAL POST - DEAL XỊN MỖI NGÀY, KIẾM TIỀN LIỀN TAY"
"VPbank","active","2026-05-19","2026-09-30","yes","VPBANK GO VIRAL - DEAL XỊN MỖI NGÀY, KIẾM TIỀN LIỀN TAY"
"TIKI","inactive","2026-05-19","2026-12-31","no","TIKI AMBASSADOR"
"Highlands Coffee","active","2026-05-17","2026-06-18","yes","HighlandsĐI Referral"
"KATINAT","active","2026-05-13","2026-05-21","yes","KATINAT VIRAL THREADS: Cùng Tằm - Kể chuyện “Dâu tằm chín mọng, quyện cùng sữa chua sánh mịn ngoại ủ”!"
"KATINAT","active","2026-05-13","2026-06-05","yes","CHIẾN DỊCH: Cùng Tằm - Kể chuyện “Dâu tằm chín mọng, quyện cùng sữa chua sánh mịn ngoại ủ”!"
"Nha Khoa Parkway","active","2026-05-14","2026-06-15","yes","Nha khoa Parkway: Mẹ chăm nụ cười nhỏ, con mở thế giới to"
"BlueStone","inactive","2026-05-14","2026-08-15","no","CHIẾN DỊCH BLUESTONE - BỀN BỈ SẺ CHIA"
"ACCESSTRADE","active","2026-05-05","2026-12-31","yes","CHƯƠNG TRÌNH CREATOR FOR VIỆT NAM"
"Con Cưng","active","2026-05-06","2026-05-21","yes","CON CƯNG KHAI TRƯƠNG 220+ CỬA HÀNG MIỀN BẮC"
"FPT Shop","active","2026-05-05","2026-05-20","no","CHIẾN DỊCH RẺ HƠN KHI MUA KÈM SIM"
"Nha Khoa Parkway","active","2026-05-14","2026-06-15","yes","Nha Khoa Parkway - Đồng hành chăm sóc răng miệng cho cả gia đình"
"Highlands Coffee","active","2026-04-22","2026-05-11","no","HIGHLANDSĐI AMBASSADOR"
"VitaDairy","active","2026-04-15","2026-06-16","yes","GỬI TRAO DINH DƯỠNG, NHẬN THƯỞNG ""YÊU THƯƠNG"" CÙNG SỮA OGGI"
"KATINAT","active","2026-04-17","2026-07-18","yes","CHIẾN DỊCH: Trải nghiệm Không Gian, Check-in Cùng KATINAT "
"KATINAT","active","2026-04-17","2026-05-09","no","CHIẾN DỊCH: NON SÔNG LIỀN MỘT DẢI CÙNG KATINAT DỆT GẤM VÓC TỰ HÀO"
"KATINAT","active","2026-04-17","2026-05-09","no","KATINAT VIRAL THREADS: NON SÔNG LIỀN MỘT DẢI CÙNG KATINAT DỆT GẤM VÓC TỰ HÀO"
"Con Cưng","inactive","2026-04-19","2026-05-31","no","CON CƯNG KOC CAMP 2026"
"Hội Mê Phở","active","2026-04-21","2026-05-24","yes","Biến tấu đơn giản với Phở Cung Đình, nâng tầm vị phở, chuẩn vị Hà thành"
"Aristino","active","2026-04-08","2026-05-20","no","NƯỚC HOA NAM ARISTINO PARIS AMBASSADOR"
"Lazada","active","2026-05-14","2026-06-17","yes","LAZADA CREATORS - CHIẾN DỊCH VIRAL POST: LAZADA TRỢ GIÁ ĐỘC QUYỀN - HOÀN TIỀN SIÊU ""ĐẢ"""
"Vietnam Airlines","active","2026-03-23","2026-04-23","no","Vietnam Airlines Ambassador"
"KATINAT","active","2026-03-17","2026-04-11","no","KATINAT VIRAL THREADS: Cùng KATINAT khám phá phong vị Matcha Bắp-bi độc đáo!"
"KATINAT","active","2026-03-17","2026-04-09","no","CHIẾN DỊCH: Cùng KATINAT khám phá phong vị Matcha Bắp-bi độc đáo!"
"MEGALIVE - LUSSO ON AIR","active","2026-03-17","2026-05-06","no","CHIẾN DỊCH VIDEO | LUSSO SAIGON"
"MEGALIVE - LUSSO ON AIR","active","2026-03-17","2026-05-06","no","CHIẾN DỊCH LIVESTREAM | LUSSO SAIGON"
"Aristino","active","2026-04-14","2026-05-31","yes","BST XUÂN HÈ 2026 ARISTINO - TIẾP NỐI HUYỀN THOẠI "
"VNSHOP","active","2026-02-28","2026-04-24","no","VNSHOP AMBASSADOR: SÁNG TẠO VIDEO - THU NHẬP KHÔNG GIỚI HẠN"
"Lazada","active","2026-05-14","2026-06-17","yes","LAZADA CREATORS - CHIẾN DỊCH VIRAL VIDEO: LAZADA TRỢ GIÁ ĐỘC QUYỀN - HOÀN TIỀN SIÊU ""ĐÃ"" "
"HDBank","active","2026-01-31","2026-04-15","no","Cùng thẻ HDBank Visa đi Mỹ xem FIFA World Cup 2026"
"Nation Care","active","2026-01-13","2026-04-01","no","NATIONAL CARE CREATORS  | DINH DƯỠNG TRAO ĐI XA - GOM THU NHẬP VỀ NHÀ"
"Lazada","inactive","2026-01-01","2026-05-31","no"," LAZADA - TMALL CREATORS - VIRAL THREADS TẾT (12.1 - 14.2)"
"Tuborg","active","2025-05-19","2026-07-31","yes","CHƠI PHẢI TỚI!"
"Tuborg","active","2025-05-19","2026-07-31","yes","SĂN THÊM NẮP - TRÚNG GẤP TRĂM"
"ACCESSTRADE","active","2025-08-31","2026-05-01","no","Test referral ambass"
"VPbank","active","2024-09-30","2026-11-23","yes","Test"
